"Summary_name","Summary_url","Summary_Floor_No","Summary_No_Rooms","Summary_No_Bathrooms","Summary_Area_m2","Summary_Add_ID","Summary_Publishing_Date","Summary_Price_EGP","Summary_Seller_Type","Summary_Price_P_M"
"Apartments For sale in Second Neighborhood
الشطر الثاني, زهراء المعادي
100 M² 2 1
1,050,000 EGP","https://aqarmap.com.eg/en/listing/3126749-for-sale-cairo-el-maadi-zahraa-el-maadi-second-neighborhood","8","2","1","2024","SEMI_FINISHED","Main Street","100 M²","Apartments For sale in Second Neighborhood","02/01/2022"
"Apartments For sale in Investors Area
منطقة المستثمرين, العاصمة الإدارية الجديدة
173 M² 3 3
2,000,000 EGP","https://aqarmap.com.eg/en/listing/3102080-for-sale-cairo-new-administrative-capital-mntq-lmstthmryn","3","3","3","SEMI_FINISHED","Garden","173 M²","EG-3102080","16/12/2021","2,000,000 EGP"
"Direct from Owner
3 bed room flat for sale in Elmerag city in Elmaadi
Elmerag city, Elmaadi, Cairo, Egypt
230 M² 3 3
2,300,000 EGP","https://aqarmap.com.eg/en/listing/3132083-for-sale-cairo-el-maadi-mdyn-lm-rj-corniche-st","4","3","3","SUPER_LUX","230 M²","EG-3132083","05/01/2022","3 bed room flat for sale in Elmerag city in Elmaadi","Property Owner"
"Duplex for sale 83m with garden in Monte Napoleone - Mostakbal City
Mostakbal City
83 M² 1 1
1,490,110 EGP","https://aqarmap.com.eg/en/listing/2958379-projects-monte-napoleone1","Ground","1","1","2024","EXTRA_SUPER_LUX","Garden","83 M²","EG-2958379","1,490,110 EGP"
"Apartments For Sale in New Fustat City
الفسطاط الجديدة, الفسطاط
120 M² 2 2
1,128,000 EGP","https://aqarmap.com.eg/en/listing/3066847-for-sale-cairo-downtown-el-fostat-lfstt-ljdyd","7","2","2","2024","SEMI_FINISHED","Main Street","120 M²","Apartments For Sale in New Fustat City","22/11/2021"
"Apartment for sale in Fifth Settlement, immediate receipt, in installments over 7 years, in Galleria Compound
كمبوند جاليريا مون فالي - العربية القابضة, كمبوند بالتجمع الخامس
125 M² 2 1
2,206,000 EGP","https://aqarmap.com.eg/en/listing/3080960-for-sale-cairo-new-cairo-compounds-galleria-moon-valley","2","2","1","2021","WITHOUT_FINISH","Main Street","125 M²","Apartment for sale in Fifth Settlement, immediate receipt, in installments over 7 years, in Galleria Compound","02/12/2021"
"Apartments For Sale in Dejoya Compound - Taj Misr
كمبوند دي جويا - تاج مصر, كمبوند بالعاصمة الادارية الجديدة
154 M² 3 3
2,440,000 EGP","https://aqarmap.com.eg/en/listing/3067063-for-sale-cairo-new-administrative-capital-new-capital-compounds-dy-jwy","5","3","3","2021","SUPER_LUX","Seaview","154 M²","Apartments For Sale in Dejoya Compound - Taj Misr","22/11/2021"
"Apartments 165 M² For sale in New El Andalous
الأندلس الجديدة, القاهرة الجديدة - التجمع الخامس
165 M² 3 2
1,320,000 EGP","https://aqarmap.com.eg/en/listing/3089008-for-sale-cairo-new-cairo-new-el-andalous","1","3","2","2021","SEMI_FINISHED","Side Street","165 M²","Apartments 165 M² For sale in New El Andalous","08/12/2021"
"Apartment 138 m for sale in Kattameya Gate, the best place in Egypt
Kattameya
138 M² 4 2
1,945,800 EGP","https://aqarmap.com.eg/en/listing/1067133-projects-kattameya-gate","2","4","2","2020","SEMI_FINISHED","Main Street","138 M²","EG-1067133","1,945,800 EGP"
"Apartment 107 m for sale in Kattameya Gate apartment for 7.5 years
Kattameya
107 M² 2 2
1,433,800 EGP","https://aqarmap.com.eg/en/listing/1067142-projects-kattameya-gate","2","2","2","2020","SEMI_FINISHED","Main Street","107 M²","EG-1067142","1,433,800 EGP"
